name,danceability,loudness,speechiness,acousticness,liveness
1999,0.866,-8.201,0.0767,0.137,0.0843
23,0.381,-5.069,0.0492,0.0189,0.153
9 Crimes,0.346,-15.326,0.0321,0.913,0.0934
99 Luftballons,0.466,-12.858,0.0608,0.089,0.113
A Boy Brushed Red Living In Black And White,0.419,-3.604,0.106,0.00171,0.137
A Burden to Bear,0.394,-26.432,0.072,0.995,0.105
A La Plage,0.504,-20.461,0.0516,0.994,0.115
A Little Less Conversation - JXL Radio Edit Remix,0.586,-9.386,0.0482,0.000155,0.159
A Place for My Head,0.603,-5.254,0.184,0.0144,0.671
ATTACK,0.331,-1.894,0.0603,0.00344,0.732
Adagio For Strings,0.349,-6.748,0.0677,0.000877,0.22
Adjustments,0.532,-11.932,0.0283,0.974,0.228
Adrift,0.382,-15.573,0.0367,0.497,0.106
Afraid of Heights,0.543,-2.78,0.0668,0.000168,0.374
Africa,0.671,-18.064,0.0323,0.257,0.0481
After The Rain,0.456,-26.87,0.0334,0.993,0.126
Afterlife,0.492,-4.195,0.076,0.000444,0.22
Algo Rhythm,0.402,-7.358,0.0293,1.19E-05,0.122
Alison,0.279,-12.06,0.038,0.00957,0.128
Alive,0.494,-3.996,0.0537,0.00248,0.0502
All I Want,0.189,-9.08,0.0449,0.113,0.058
All Mirrors,0.429,-7.38,0.0379,0.00299,0.152
All These Things I Hate (Revolve Around Me),0.488,-3.505,0.0514,0.0303,0.288
All in the Suit That You Wear,0.429,-2.962,0.0617,1.94E-05,0.312
All of Me,0.422,-7.064,0.0322,0.922,0.132
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,0.737,-9.22,0.0411,0.226,0.621
Always,0.363,-4.415,0.0615,0.0122,0.172
Ambre,0.391,-25.585,0.0342,0.992,0.117
Anaviosi,0.391,-24.588,0.0852,0.995,0.0959
Anchor,0.486,-13.649,0.0318,0.755,0.0986
Andromeda,0.463,-7.94,0.0272,0.367,0.356
Angel's Song,0.693,-15.278,0.0446,0.894,0.126
Angry Chair,0.313,-3.855,0.109,0.0642,0.0581
Anthem,0.664,-4.505,0.0345,0.00152,0.197
Anthem of Our Dying Day,0.388,-6.33,0.0783,0.0211,0.212
Are You Gonna Be My Girl,0.613,-3.435,0.0855,0.00148,0.152
As I Sleep (feat. Charlee),0.694,-6.306,0.161,0.0195,0.327
Ashes to Ashes,0.696,-6.482,0.0357,0.186,0.173
Atlavík,0.535,-25.141,0.0382,0.867,0.0825
Auburn Sky,0.265,-26.502,0.0359,0.906,0.0932
Awaken,0.346,-13.632,0.0362,0.929,0.102
Away From Me,0.396,-2.939,0.1,0.00061,0.168
Back Where I Belong (feat. Avicii),0.497,-3.19,0.0644,0.0306,0.443
Back+,0.383,-28.192,0.0528,0.993,0.121
Bad Feeling,0.512,-9.093,0.0354,0.351,0.106
Bad Kingdom,0.401,-14.409,0.0355,0.934,0.112
Bad Timing,0.471,-9.784,0.0258,0.689,0.0865
Ballad of the Dying Man,0.399,-9.168,0.0272,0.848,0.0899
Balloon,0.408,-29.142,0.0355,0.987,0.12
Bat Country,0.541,-4.129,0.0396,0.000248,0.423
Bayybe 07,0.44,-12.331,0.0453,0.827,0.156
Be My Mistake,0.572,-14.405,0.0344,0.835,0.0906
Beautiful Life,0.732,-6.684,0.0376,0.127,0.139
Beautiful Night,0.531,-4.54,0.0582,0.000508,0.144
Beekweide,0.321,-23.63,0.0345,0.984,0.115
Before You Go,0.459,-4.858,0.0573,0.604,0.0885
